StoreID,StoreName,Location,Manager
1,Store A,City A,Manager A
2,Store B,City B,Manager B
3,Store C,City C,Manager C
4,Store D,City D,Manager D
5,Store E,City E,Manager E
6,Store F,City F,Manager F
7,Store G,City G,Manager G
8,Store H,City H,Manager H
9,Store I,City I,Manager I
10,Store J,City J,Manager J
11,Store K,City K,Manager K
12,Store L,City L,Manager L
13,Store M,City M,Manager M
14,Store N,City N,Manager N
15,Store O,City O,Manager O
16,Store P,City P,Manager P
17,Store Q,City Q,Manager Q
18,Store R,City R,Manager R
19,Store S,City S,Manager S
20,Store T,City T,Manager T
21,Store U,City U,Manager U
22,Store V,City V,Manager V
23,Store W,City W,Manager W
24,Store X,City X,Manager X
25,Store Y,City Y,Manager Y
26,Store Z,City Z,Manager Z
27,Store AA,City AA,Manager AA
28,Store AB,City AB,Manager AB
29,Store AC,City AC,Manager AC
30,Store AD,City AD,Manager AD
31,Store AE,City AE,Manager AE
32,Store AF,City AF,Manager AF
33,Store AG,City AG,Manager AG
34,Store AH,City AH,Manager AH
35,Store AI,City AI,Manager AI
36,Store AJ,City AJ,Manager AJ
37,Store AK,City AK,Manager AK
38,Store AL,City AL,Manager AL
39,Store AM,City AM,Manager AM
40,Store AN,City AN,Manager AN
41,Store AO,City AO,Manager AO
42,Store AP,City AP,Manager AP
43,Store AQ,City AQ,Manager AQ
44,Store AR,City AR,Manager AR
45,Store AS,City AS,Manager AS
46,Store AT,City AT,Manager AT
47,Store AU,City AU,Manager AU
48,Store AV,City AV,Manager AV
49,Store AW,City AW,Manager AW
50,Store AX,City AX,Manager AX
